Estacion,Variable,pct_valido,racha_max_horas,racha_max_dias
SE2,CO,73.03,5568,232.0
SE2,NO,77.61,9317,388.2
SE2,NO2,78.45,9317,388.2
SE2,NOX,78.97,9317,388.2
SE2,O3,71.88,10288,428.7
SE2,PM10,94.81,480,20.0
SE2,PM2.5,86.89,1672,69.7
SE2,PRS,94.5,899,37.5
SE2,RAINF,81.14,4753,198.0
SE2,RH,72.81,8760,365.0
SE2,SO2,93.21,436,18.2
SE2,SR,99.18,49,2.0
SE2,TOUT,94.58,1360,56.7
SE2,WSR,92.74,436,18.2
SE2,WDR,95.49,436,18.2
SE3,CO,92.02,815,34.0
SE3,NO,96.22,160,6.7
SE3,NO2,96.69,160,6.7
SE3,NOX,96.73,160,6.7
SE3,O3,92.83,569,23.7
SE3,PM10,96.3,160,6.7
SE3,PM2.5,87.55,375,15.6
SE3,PRS,94.63,160,6.7
SE3,RAINF,97.88,160,6.7
SE3,RH,97.19,160,6.7
SE3,SO2,94.08,336,14.0
SE3,SR,98.94,34,1.4
SE3,TOUT,97.83,160,6.7
SE3,WSR,97.21,160,6.7
SE3,WDR,97.78,160,6.7
SO,CO,87.01,3866,161.1
SO,NO,90.04,599,25.0
SO,NO2,88.57,712,29.7
SO,NOX,87.29,1807,75.3
SO,O3,90.28,2160,90.0
SO,PM10,96.89,198,8.2
SO,PM2.5,88.84,370,15.4
SO,PRS,87.32,950,39.6
SO,RAINF,96.61,670,27.9
SO,RH,85.97,1861,77.5
SO,SO2,92.84,2160,90.0
SO,SR,97.34,224,9.3
SO,TOUT,95.68,1049,43.7
SO,WSR,95.93,1049,43.7
SO,WDR,92.36,709,29.5
SO2,CO,95.5,607,25.3
SO2,NO,88.87,2989,124.5
SO2,NO2,90.15,2989,124.5
SO2,NOX,90.15,2989,124.5
SO2,O3,97.82,96,4.0
SO2,PM10,94.67,277,11.5
SO2,PM2.5,85.73,1043,43.5
SO2,PRS,99.18,96,4.0
SO2,RAINF,99.2,96,4.0
SO2,RH,98.56,96,4.0
SO2,SO2,92.75,96,4.0
SO2,SR,99.64,17,0.7
SO2,TOUT,99.2,96,4.0
SO2,WSR,85.31,489,20.4
SO2,WDR,98.23,491,20.5
SUR,CO,78.43,2572,107.2
SUR,NO,76.31,10117,421.5
SUR,NO2,77.0,10117,421.5
SUR,NOX,79.93,1532,63.8
SUR,O3,79.37,8704,362.7
SUR,PM10,97.45,66,2.8
SUR,PM2.5,70.17,2389,99.5
SUR,PRS,95.45,446,18.6
SUR,RAINF,98.32,246,10.2
SUR,RH,95.57,446,18.6
SUR,SO2,75.21,9557,398.2
SUR,SR,99.22,72,3.0
SUR,TOUT,95.49,449,18.7
SUR,WSR,97.74,246,10.2
SUR,WDR,79.55,1701,70.9
